"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Marvel: Forget #BlackFriday, the perfect gift awaits on Spider-Monday! Tickets for #SpiderManNoWayHome go on sale Monday, November 29!…",FALSE,0,NA,2021-11-27 12:31:38,FALSE,NA,"1464572622130364423",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xsonarisx",351,TRUE,FALSE,NA,NA
"Could you imagine this Peter Parker's reaction to finding out Dr. Connors turned himself into a giant lizard man in… https://t.co/cjBscTkoyt",FALSE,0,NA,2021-11-27 12:31:35,TRUE,NA,"1464572612533800966",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TomNaden",0,FALSE,FALSE,NA,NA
"RT @MarvelManiac_: HOLY SHITTT!!!!
#SPIDERMANNOWAYHOME https://t.co/S57CEFAy6m",FALSE,0,NA,2021-11-27 12:31:25,FALSE,NA,"1464572567914795015",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManoVikz",507,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:31:16,FALSE,NA,"1464572528970534913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuperTapatioz",6191,TRUE,FALSE,NA,NA
"RT @AaronBaileyArt: Oh man I found the stock image they used

#SpiderManNoWayHome https://t.co/2M7DSo5hCO",FALSE,0,NA,2021-11-27 12:31:12,FALSE,NA,"1464572514273800196",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Max16685945",4712,TRUE,FALSE,NA,NA
"RT @therealsupes: My Spider-Man Movie Ranking:

1. #SpiderManNoWayHome 
2. Into The Spiderverse 
3. Spider-Man 2
4. Spider-Man 3
5. Spider-…",FALSE,0,NA,2021-11-27 12:30:58,FALSE,NA,"1464572456249692165",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andraadhani",654,TRUE,FALSE,NA,NA
"RT @WGreatPowerBook: OK, #SpiderMan friends. It's time.

#SpiderManNoWayHome officially starts screening one week from today. Start muting…",FALSE,0,NA,2021-11-27 12:30:55,FALSE,NA,"1464572443972956164",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sameermughal533",323,TRUE,FALSE,NA,NA
"RT @MCU_Source: BREAKING: The official screen-times for Tobey and Andrew as #SpiderMan in #SpiderManNoWayHome:

Tobey Maguire - 25 Minutes…",FALSE,0,NA,2021-11-27 12:30:54,FALSE,NA,"1464572438033977347",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AydFreud0907",20,TRUE,FALSE,NA,NA
"RT @Spider_Leaks: The same scene #SpiderManNoWayHome https://t.co/GqaqBDFHfC",FALSE,0,NA,2021-11-27 12:30:40,FALSE,NA,"1464572381272358919",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielMarcosCep",377,TRUE,FALSE,NA,NA
"RT @douchebagzach_: Is that him? #SpiderManNoWayHome https://t.co/y7P2Bs50PF",FALSE,0,NA,2021-11-27 12:30:27,FALSE,NA,"1464572327618879488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","logomobilegames",1,TRUE,FALSE,NA,NA
"RT @MarvelManiac_: HOLY SHITTT!!!!
#SPIDERMANNOWAYHOME https://t.co/S57CEFAy6m",FALSE,0,NA,2021-11-27 12:30:14,FALSE,NA,"1464572271419432973",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sharadsubedi",507,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:30:14,FALSE,NA,"1464572270576345104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Capotacious",6191,TRUE,FALSE,NA,NA
"RT @JabyFrost: Yooooooo..... I can't believe I hit 400 followers thank you y'all 🥺🥺🥺❤️❤️ 
Thank you so so so muchh ❤️🥺.. if we are friends…",FALSE,0,NA,2021-11-27 12:30:07,FALSE,NA,"1464572241253781509",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","killerhog27",1,TRUE,FALSE,NA,NA
"RT @Spider_Leaks: #SpiderManNoWayHome's final runtime will be 02:28:01.

(Source: @bigscreenleaks) https://t.co/9dI3eK23dl",FALSE,0,NA,2021-11-27 12:30:04,FALSE,NA,"1464572229698605064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mossop1313",366,TRUE,FALSE,NA,NA
"RT @NwhSpider14: So the leak was real, This should be at the Doctor Strange prison, With the other villains.
#SpiderManNoWayHome https://t.…",FALSE,0,NA,2021-11-27 12:30:00,FALSE,NA,"1464572212455874560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","usefmalaak23",173,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:29:54,FALSE,NA,"1464572185138417669",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiogoFe14441700",6191,TRUE,FALSE,NA,NA
"Is that him? #SpiderManNoWayHome https://t.co/y7P2Bs50PF",FALSE,2,NA,2021-11-27 12:29:44,FALSE,NA,"1464572146773114880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","douchebagzach_",1,FALSE,FALSE,NA,NA
"RT @therealsupes: My Spider-Man Movie Ranking:

1. #SpiderManNoWayHome 
2. Into The Spiderverse 
3. Spider-Man 2
4. Spider-Man 3
5. Spider-…",FALSE,0,NA,2021-11-27 12:29:44,FALSE,NA,"1464572143358779407",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ahc_1038",654,TRUE,FALSE,NA,NA
